SLD,WhoisServer
br.com,whois.centralnic.net
cn.com,whois.centralnic.net
de.com,whois.centralnic.net
eu.com,whois.centralnic.net
gb.com,whois.centralnic.net
gb.net,whois.centralnic.net
gr.com,whois.centralnic.net
hu.com,whois.centralnic.net
in.net,whois.centralnic.net
no.com,whois.centralnic.net
qc.com,whois.centralnic.net
ru.com,whois.centralnic.net
sa.com,whois.centralnic.net
se.com,whois.centralnic.net
se.net,whois.centralnic.net
uk.com,whois.centralnic.net
uk.net,whois.centralnic.net
us.com,whois.centralnic.net
uy.com,whois.centralnic.net
za.com,whois.centralnic.net
jpn.com,whois.centralnic.net
web.com,whois.centralnic.net
za.net,whois.za.net
eu.org,whois.eu.org
za.org,whois.za.org
llyw.cymru,whois.nic.llyw.cymru
gov.scot,whois.nic.gov.scot
gov.wales,whois.nic.gov.wales
e164.arpa,whois.ripe.net
priv.at,whois.nic.priv.at
co.ca,whois.co.ca
edu.cn,whois.edu.cn
uk.co,whois.uk.co
co.pl,whois.co.pl
ac.ru,whois.free.net
edu.ru,whois.informika.ru
com.ru,whois.flexireg.net
msk.ru,whois.flexireg.net
net.ru,whois.nic.net.ru
nov.ru,whois.flexireg.net
org.ru,whois.nic.net.ru
pp.ru,whois.nic.net.ru
spb.ru,whois.flexireg.net
msk.su,whois.flexireg.net
nov.su,whois.flexireg.net
spb.su,whois.flexireg.net
biz.ua,whois.biz.ua
co.ua,whois.co.ua
pp.ua,whois.pp.ua
ac.uk,whois.nic.ac.uk
gov.uk,whois.gov.uk
fed.us,whois.nic.gov
ac.za,whois.ac.za
co.za,whois.registry.net.za
gov.za,whois.gov.za
net.za,net-whois.registry.net.za
org.za,org-whois.registry.net.za
web.za,web-whois.registry.net.za
